Test Scenario ID | Test Case ID | Test Case Description | Prerequisites | Steps to Execute | Expected Results | Actual Results | Pass/Fail | Defect ID | Remarks | Method
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
UM_TS_01 | UM_TC_01 | Verify successful registration of a new Brand user with valid details. | Browser open, navigated to Sign Up page (https://sponsorship-front.netlify.app/signup), email and username not registered. | 1. Open login page and click "Signup" button. 2. Enter Username: "BrandUser[unique]". 3. Enter Email: "brandtest+[unique]@gmail.com". 4. Enter Password: "Pass@12345". 5. Select Role: "Brand". 6. Click "Create Account" button. | Redirection to Dashboard page (/dashboard), popup with message containing "Registration successful!" displayed, and user can log out successfully. | User redirected to dashboard, "Registration successful!" popup appeared, and logout completed successfully. | Pass | None | Username and Email are dynamically uniquified at runtime using System.currentTimeMillis() to prevent conflicts. | signUp (Data-driven)
UM_TS_01 | UM_TC_02 | Verify successful registration of a new Influencer user with valid details. | Browser open, navigated to Sign Up page, email and username not registered. | 1. Open login page and click "Signup" button. 2. Enter Username: "InfluencerUser[unique]". 3. Enter Email: "influencertest+[unique]@gmail.com". 4. Enter Password: "Pass@12345". 5. Select Role: "Influencer". 6. Click "Create Account" button. | Redirection to Dashboard page (/dashboard), popup with message containing "Registration successful!" displayed, and user can log out successfully. | User redirected to dashboard, "Registration successful!" popup appeared, and logout completed successfully. | Pass | None | Username and Email are dynamically uniquified at runtime. | signUp (Data-driven)
UM_TS_01 | UM_TC_03 | Verify registration failure when the email is already registered in the system. | A user already registered in the system with email "brand@gmail.com". | 1. Open login page and click "Signup" button. 2. Enter Username: "AutoUser[unique]". 3. Enter Email: "brand@gmail.com". 4. Enter Password: "Pass@12345". 5. Select Role: "Brand". 6. Observe inline validation / click Create Account. | Registration fails, showing validation error message containing "Email already registered". | Registration failed, captured error message: "Email already registered". | Pass | None | Email is kept static to trigger conflict; username is uniquified. | signUp (Data-driven)
UM_TS_01 | UM_TC_04 | Verify registration failure when the username is already registered in the system. | A user already registered in the system with username "brand". | 1. Open login page and click "Signup" button. 2. Enter Username: "brand". 3. Enter Email: "unique04+[unique]@gmail.com". 4. Enter Password: "Pass@12345". 5. Select Role: "Brand". 6. Observe inline validation / click Create Account. | Registration fails, showing validation error message containing "Username already exists". | Registration failed, captured error message: "Username already exists". | Pass | None | Username is kept static to trigger conflict; email is uniquified. | signUp (Data-driven)
UM_TS_01 | UM_TC_05 | Verify registration failure when the email format is invalid. | None. | 1. Open login page and click "Signup" button. 2. Enter Username: "TestUser05". 3. Enter Email: "not-a-valid-email". 4. Enter Password: "Pass@12345". 5. Select Role: "Brand". 6. Observe validation behavior (Create Account button remains disabled). | Registration fails, showing inline validation error message containing "Invalid email format". | Registration failed, captured validation error message: "Invalid email format". | Pass | None | Checks email format validation constraint on signup form. | signUp (Data-driven)
UM_TS_01 | UM_TC_06 | Verify registration failure when password does not meet complexity requirements. | None. | 1. Open login page and click "Signup" button. 2. Enter Username: "TestUser06". 3. Enter Email: "testuser06@gmail.com". 4. Enter Password: "weakpassword". 5. Select Role: "Brand". 6. Observe validation behavior. | Registration fails, showing inline validation error message containing "Password must". | Registration failed, captured validation error message: "Password must". | Pass | None | Checks password complexity policy rules of the signup form. | signUp (Data-driven)
UM_TS_01 | UM_TC_07 | Verify registration failure when username is too short. | None. | 1. Open login page and click "Signup" button. 2. Enter Username: "ab" (less than 3 characters). 3. Enter Email: "testuser07@gmail.com". 4. Enter Password: "Pass@12345". 5. Select Role: "Brand". 6. Observe validation behavior. | Registration fails, showing inline validation error message containing "at least 3". | Registration failed, captured validation error message: "at least 3". | Pass | None | Checks username length validation constraint (minimum 3 characters). | signUp (Data-driven)
UM_TS_01 | UM_TC_08 | Verify registration failure when all required fields are left empty. | None. | 1. Open login page and click "Signup" button. 2. Focus and leave Username, Email, and Password fields empty (touching them). Leave Role empty. 3. Observe validation messages. | Registration fails, showing validation error message containing "required" for the fields. | Registration failed, captured validation error message: "required". | Pass | None | Verifies Angular reactive form touch triggers inline validation error messages. | signUp (Data-driven)
UM_TS_02 | UM_TC_09 | Verify successful login of a Brand user with valid credentials. | Registered Brand user account ("brand@gmail.com" / "brand@123"). | 1. Navigate to login page. 2. Enter Email: "brand@gmail.com". 3. Enter Password: "brand@123". 4. Click "Login" button. | Redirection to Dashboard page (/dashboard), popup with message containing "Login successful!" displayed, and user can log out successfully. | User redirected to dashboard, "Login successful!" popup appeared, and logged out successfully. | Pass | None | Reused in campaign management tests to establish session. | login (Data-driven)
